Name,AshOnly,AshFDwPM,BDns,DWpM,PDW,WWP,BLen,BMax,BThk,SDia,SLen,Category,Group
SL18-BL-12-FG1,-0.000879423,0.009013683,0.003160692,0.016827402,0.000297733,0.060994583,0.100455134,-0.003549285,0.006852244,0.029623157,0.095925813,GP_from_Founders,GPs
SL18-NL-5-FG3,0.001101696,-0.00397256,-0.002417285,-0.030238442,-0.000212117,-0.121220792,0.035344762,-0.037692703,0.051027337,-0.044221882,-0.221768331,GP_from_Founders,GPs
SL18-BL-11-FG3,-3.48E-05,0.008747441,0.003631135,0.016784531,-0.000180798,0.058309638,0.098691342,-0.011450451,0.010833402,0.042114913,0.114712987,GP_from_Founders,GPs
SL18-NC-12-FG1,-9.16E-05,-0.016136351,-0.000220245,-0.024300515,-0.001989144,-0.069794462,0.006259134,0.157641868,0.013097502,-0.02407929,-0.178411853,GP_from_Founders,GPs
SA18-CB-10-FG1xSL18-SF-19-MG2,0.006665539,0.035887087,0.02586315,0.114844259,-0.003101525,0.411353185,0.045815516,-0.436245163,0.049119092,0.092089142,0.613241828,SP_2019,SPs
SL18-LD-10-FG1xSL18-OI-4-MG1,-0.006401498,0.000973402,-0.000911875,-0.02294487,0.008336536,-0.121398667,-0.10585069,0.316793656,-0.154829618,0.06869859,-0.069058854,SP_2019,SPs
SL18-NL-6-FG1xSL18-OI-11-MG2,0.015962503,-0.002327373,0.097156815,0.087673312,-0.008982735,0.226190717,0.086637911,0.018320233,0.068299996,0.142816896,0.327472608,SP_2019,SPs
SL18-NL-6-FG1xSL18-OI-14-MG2,0.018016343,0.006251886,0.081831257,0.153835953,-0.003561192,0.44712622,0.113575644,0.046301395,0.018142021,0.131993162,0.644495157,SP_2019,SPs
SL18-NL-6-FG1xSL18-OI-15-MG1,0.039186141,0.010914859,0.115910622,0.194957831,-0.009190729,0.625883176,-0.004771092,-0.158093118,0.01408049,0.183301358,0.593335182,SP_2019,SPs
SL18-NL-6-FG1xSL18-OI-16-MG1,-0.011299953,-0.029753587,0.092706173,0.089008708,-0.005223609,0.339006579,-0.235154714,-0.286633125,0.000828712,0.000782919,0.2778357,SP_2019,SPs
SL18-NL-6-FG1xSL18-SF-17-MG1,0.005328312,0.014700338,0.053679005,0.143574886,-0.004645849,0.415695414,0.051335478,-0.085220208,-0.039065427,0.217807826,0.637294083,SP_2019,SPs
SL18-NL-6-FG1xSL18-SF-19-MG2,0.01263792,0.005822645,0.102038827,0.147885397,-0.008567345,0.490830258,0.028736779,-0.02521597,0.044464927,0.323818461,0.632763365,SP_2019,SPs
SL18-LD-10-FG2xSA18-CB-7-MG2,0.037762616,0.032616803,0.037879541,0.109605729,0.002871055,0.20718844,0.117008685,-0.507652034,0.055493202,0.069701628,0.323809186,SP_2019,SPs
SL18-LD-10-FG2xSL18-NL-3-MG2,0.043930307,-0.015343444,0.002952641,-0.081120625,0.004794267,-0.343002847,-0.612835586,-0.533975624,-0.064334911,-0.165658832,-0.177917912,SP_2019,SPs
SL18-NL-9-FG2xSA18-CB-7-MG1,0.008645717,0.011459895,0.034156941,0.056495377,-0.009710468,0.298958666,NA,NA,NA,NA,NA,SP_2019,SPs
SL18-NL-9-FG2xSL18-SF-19-MG1,-0.003498082,-0.029130536,0.03358693,-0.017989544,0.001857812,-0.041788933,-0.549631759,-0.498465032,-0.030031875,-0.488416752,-0.584535788,SP_2019,SPs
SL18-OI-11-FG1xSL18-SF-15-MG2,-0.002875396,0.009349547,0.048234839,0.083341991,-0.003771992,0.373912074,-0.096936507,0.192894682,0.005587096,0.442430791,0.915089746,SP_2019,SPs
SL18-OI-15-FG1xSA18-CB-2-MG3,-0.013638492,0.011861276,0.038390413,0.072318678,-0.001868722,0.300324606,0.322444193,-0.21294433,-0.032975843,-0.063321679,0.052865581,SP_2019,SPs
SL18-OI-15-FG1xSL18-NL-5-MG1,-0.002511414,-0.008456314,0.026614338,-0.00031603,-0.001704694,0.022647386,0.192640842,0.072281636,0.069497822,0.018834768,-0.037201993,SP_2019,SPs
SL18-OI-15-FG1xSL18-SF-15-MG1,-0.001441545,0.00167961,0.071942132,0.150759836,-0.005077814,0.543781634,-0.06675607,0.028452665,-0.071287083,0.236911792,0.850164401,SP_2019,SPs
SL18-OI-16-FG3xSA18-CB-4-MG3,0.009865472,-0.014546879,-0.0019346,0.005672595,-0.008335316,0.146422562,-0.111174325,-0.502332846,-0.051477888,-0.403384182,-0.301732158,SP_2019,SPs
SL18-OI-16-FG3xSA18-CB-5-MG3,0.002154215,-0.021575428,0.004951855,-0.04927255,0.003506158,-0.213237906,-0.044266119,-0.143713454,-0.089523095,-0.600993868,-0.781743396,SP_2019,SPs
SL18-LD-13-FG2xSL18-LD-13-MG2,0.001101235,-0.049668748,0.05249926,-0.03381171,0.012385724,-0.131266176,-0.400401946,-0.095761808,-0.05290171,-0.123923315,0.07746858,SP_2019,SPs
SL18-OI-16-FG3xSL18-LD-3-MG2,-0.012104714,-0.012232781,0.015898306,-0.034131691,0.005497046,-0.034804506,-0.545248849,-0.186837605,-0.140499225,-0.240964056,0.211020949,SP_2019,SPs
SL18-OI-16-FG3xSL18-NL-6-MG1,-0.048638683,-0.022524528,0.03038142,-0.009438298,-0.001841529,-0.009122114,-0.194495499,-0.011698908,-0.102357309,-0.411961064,-0.754093892,SP_2019,SPs
SL18-OI-16-FG3xSL18-SF-17-MG2,-0.022823856,-0.002107728,0.016301844,0.040739083,0.001047204,0.218841168,-0.383261996,-0.34274087,-0.007188682,-0.054269962,0.490455385,SP_2019,SPs
SL18-OI-17-FG1xSL18-SF-13-MG2,0.016004014,0.016390256,0.015693454,0.064652323,0.002105339,0.175360992,-0.20547298,0.158101511,-0.030176586,0.199618376,0.23181808,SP_2019,SPs
SL18-OI-17-FG2xSL18-SF-17-MG2,-0.017662229,0.02435534,-0.028372856,-0.009535003,-0.002421347,0.010824409,0.083535591,0.237501448,-0.119177311,0.260101231,0.449126118,SP_2019,SPs
SL18-OI-18-FG1xSL18-OI-9-MG3,0.002273995,-0.001062578,0.021164021,0.059454739,0.004425017,0.205286496,-0.249376946,-0.219425703,0.027509928,-0.123727368,-0.316243248,SP_2019,SPs
SL18-OI-18-FG2xSA18-CB-7-MG1,-0.019983999,0.010280114,0.000129714,0.070512463,0.004830451,0.15573708,0.344782706,-0.200251414,0.097529342,0.013639477,-0.079278254,SP_2019,SPs
SL18-OI-18-FG2xSL18-LD-10-MG1,-0.012061278,-0.004328853,-0.003473324,0.023971233,0.008591559,0.02510352,-0.298678019,0.055697432,-0.042401994,0.189506384,0.225190218,SP_2019,SPs
SL18-OI-18-FG2xSL18-LD-9-MG1,-0.017505733,-0.0033105,-0.0510868,-0.015257322,0.014212338,-0.155918172,-0.430304524,0.19109875,-0.027142624,0.017644252,-0.150407438,SP_2019,SPs
SL18-OI-18-FG2xSL18-NL-2-MG2,-0.029381253,-0.028599351,-0.015309295,-0.042708135,0.004795693,-0.186254753,-0.51433227,-0.288544259,-0.045988226,-0.37948549,-0.801467205,SP_2019,SPs
