"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","Indiv"
"grm4._31.1",-0.331184758078932,-0.00198125612220284,-0.0926855200441973,0.0136900256511089,-0.00607903057875022,0.342884331240857,"SL18-OI-18-FG3xSL18-LL-9-MG1"
"grm4._32.1",0.0699889913393868,0.000328303949462334,0.0384039548597583,0.0103018102824282,0.00270751633914093,-0.0427618346084981,"SL18-OI-18-FG3xSL18-OI-7-MG1"
"grm4._33.1",0.0551330077584644,-0.00340417896450003,0.0510215052103307,-0.0523330789215373,-0.0145769565842364,0.078777090206807,"SL18-OI-18-FG5xSA18-CB-4-MG3"
"grm4._34.1",-0.288517013111382,-0.00214959661629198,-0.0127410938690389,-0.0185233281759183,-0.00635195245504767,0.111188483508504,"SL18-OI-18-FG5xSL18-LD-2-MG1"
"grm4._35.1",0.274453412131977,0.00800025046468746,0.160764635797792,-0.0170936749947628,-0.00908088795452227,-0.0194370045518177,"SL18-OI-18-FG5xSL18-SF-15-MG2"
"grm4._36.1",0.2020501139595,0.00631225149944179,0.0797219177291442,0.0244933381628416,-0.00871231458787375,-0.107634791852176,"SL18-OI-18-FG6xSA18-CB-1-MG2"
"grm4._37.1",-0.0414564972502814,0.00110454470703184,-0.0119778750535934,0.0860004512187363,-0.0236791556135995,-0.0563247948547998,"SL18-OI-18-FG6xSL18-NL-6-MG1"
"grm4._38.1",-0.379796494896223,0.00597090820068498,-0.144691768372373,0.000947623322216334,0.0164313567699146,0.343811226496121,"SL18-OI-2-FG2xSL18-LD-1-MG2"
"grm4._39.1",-0.381151490998668,2.55264331008455e-05,-0.157711338927113,0.0164314988698845,-0.0352049184138783,-0.0833565034897701,"SL18-LD-1-FG1xSL18-NL-2-MG2"
"grm4._40.1",-0.45084273343612,-0.00393184233196558,-0.169817557628307,-0.0081769661243255,-0.0236124889148569,0.17235258433334,"SL18-OI-2-FG3xSL18-NL-9-MG1"
"grm4._41.1",-0.0740716315066381,0.000997393192841758,-0.0108266241568012,0.0114796739491868,0.0294014004480893,0.219734598805851,"SL18-OI-2-FG3xSL18-SF-17-MG1"
"grm4._42.1",0.0111314263402726,0.0187853339738078,-0.0297868360801925,0.0289417932671226,0.0962587452366397,0.164984092677522,"SL18-OI-6-FG1xSA18-CB-2-MG1"
"grm4._43.1",0.038777224663286,0.0180792769199572,-0.0499259116897258,0.0102853621609584,0.0712264986376306,0.185776659471963,"SL18-OI-6-FG1xSA18-CB-4-MG1"
"grm4._44.1",-0.0796035492972221,0.0156495721504133,-0.067794845344932,0.0508696694171741,0.0423929156433591,0.146919578848308,"SL18-OI-6-FG1xSL18-LD-13-MG2"
"grm4._45.1",-0.185541548068375,0.0142041218893751,-0.0919370302490147,0.0287043406255183,0.0867722233737748,0.24195858928348,"SL18-OI-6-FG1xSL18-LD-2-MG1"
"grm4._46.1",0.0386465962645656,0.0203790296082086,-0.0945892616349741,0.0330852784246596,0.0858058526672028,0.256151017854681,"SL18-OI-6-FG1xSL18-LD-5-MG1"
"grm4._47.1",-0.422178055617687,0.00538506030553895,-0.14206014296112,0.0258527441042213,-0.019586455916201,0.0974461586474205,"SL18-LD-1-FG1xSL18-OI-18-MG1"
"grm4._48.1",-0.262139716558631,0.0129398826569383,-0.146119571266476,0.0264091853517572,0.0487124342931076,0.281426003326804,"SL18-OI-6-FG1xSL18-NL-9-MG1"
"grm4._49.1",0.33350362276523,0.0239115923588415,0.078901660273174,0.0315879838427042,0.0838753043017223,0.085430684200255,"SL18-OI-6-FG1xSL18-SF-15-MG1"
"grm4._50.1",-0.136941628477848,0.0145190728637669,-0.0572013419773261,0.0435606325468455,0.0334219250870047,0.151683169107672,"SL18-OI-6-FG1xSL18-SF-19-MG1"
"grm4._51.1",0.0470425678053898,0.0036085030762845,0.0064398217957385,0.00376403605136258,0.0548377592651142,0.00734331332391235,"SL18-OI-7-FG3xSA18-CB-2-MG3"
"grm4._52.1",-0.0702782119939686,0.00314303215311665,-0.0600545471311618,0.0306811127055564,0.0107090115848721,0.0126020192838479,"SL18-OI-9-FG1xSL18-LL-9-MG2"
"grm4._53.1",-0.164432239373462,-0.00558601357764345,-0.015924503157245,-0.0225331783650177,-0.00254104657884385,0.252465634178735,"SL18-SF-13-FG1xSL18-LL-9-MG3"
"grm4._54.1",0.167639730133466,-0.0032759592695763,0.0364950833477313,-0.0479927685208572,0.00508901660631256,-0.0328813949676733,"SL18-LD-1-FG2xSA18-CB-4-MG3"
"grm4._55.1",-0.225888011992507,-0.00276270795804768,-0.0895414505943086,0.00680079708592001,0.0328936318114522,0.331787264664757,"SL18-SF-17-FG1xSL18-LL-9-MG1"
"grm4._56.1",0.343271960854157,0.0101253306282693,0.122582088585452,-0.00682690916294942,0.119312181720816,0.0374857150880746,"SL18-SF-17-FG3xSA18-CB-10-MG1"
"grm4._57.1",0.38086910938006,-0.00391258599539738,0.106998671107509,-0.0235502596002554,0.0840802931371549,0.183612753821709,"SL18-SF-17-FG3xSA18-CB-3-MG3"
"grm4._58.1",-0.0754864791074378,-1.04167486982067e-05,-0.0352571282249522,0.00423327983198186,0.0354984481784927,0.0911142434997164,"SL18-SF-17-FG3xSL18-LD-2-MG1"
