"","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter","Indiv"
"grm4._34",-0.129671954191188,-0.00509749738876786,-0.0652188306591337,0.56650952474482,0.14454860938804,"SL18-OI-18-FG5xSL18-SF-15-MG2"
"grm4._35",0.517453765790123,-0.241391429479048,0.0298918229331003,-0.305996042637412,-0.160335893284777,"SL18-OI-18-FG6xSA18-CB-1-MG2"
"grm4._36",0.296231282841899,0.444236694008081,-0.127666883491344,-0.861514306272174,-0.122907156535822,"SL18-OI-18-FG6xSL18-NL-6-MG1"
"grm4._37",0.210156940957055,0.631326655034937,-0.0972080337394134,0.184217282253775,0.200056049075819,"SL18-OI-2-FG2xSL18-LD-1-MG2"
"grm4._38",-0.655338812646976,-0.474301295408557,-0.145745564196787,-0.174165029856125,-0.203088158454424,"SL18-LD-1-FG1xSL18-NL-2-MG2"
"grm4._39",-0.368854346451901,-0.082000664021945,-0.0810789020258499,-0.485705215811939,-0.228615433357523,"SL18-OI-2-FG3xSL18-NL-9-MG1"
"grm4._40",-0.267580795516714,-0.0559959207453015,-0.119603251263039,-0.026504229043259,-0.120082714128432,"SL18-OI-2-FG3xSL18-SF-17-MG1"
"grm4._41",0.398303503527692,0.140936125373604,0.00915743148480166,-0.246183678662732,-0.0696356226402221,"SL18-OI-6-FG1xSA18-CB-2-MG1"
"grm4._42",0.295643283279967,-0.0847698645361563,-0.0365756185214578,-0.240892827463307,-0.173948889144481,"SL18-OI-6-FG1xSA18-CB-4-MG1"
"grm4._43",-0.101865461127357,0.145315090914296,-0.0492174981742917,-0.604436514122835,-0.199078571899371,"SL18-OI-6-FG1xSL18-LD-13-MG2"
"grm4._44",-0.156439631717662,0.246928572189468,-0.0757892992778637,0.059440409745489,-0.0457458370104309,"SL18-OI-6-FG1xSL18-LD-2-MG1"
"grm4._45",-0.166087894873796,0.275562209300263,-0.0900044976637303,0.123838709127801,-0.0457231332642432,"SL18-OI-6-FG1xSL18-LD-5-MG1"
"grm4._46",-0.452512793888779,0.0495917725601771,-0.119451480575541,-0.379329982867919,-0.0517913712337504,"SL18-LD-1-FG1xSL18-OI-18-MG1"
"grm4._47",0.162395774972776,0.262869837748849,-0.0242087090739341,-0.0466949260976905,-0.0366629902235802,"SL18-OI-6-FG1xSL18-NL-9-MG1"
"grm4._48",-0.0401039547021869,0.169362656941782,-0.0661188602638023,0.495523318756506,0.114406250753021,"SL18-OI-6-FG1xSL18-SF-15-MG1"
"grm4._49",-0.12555877641881,0.0185002813268344,-0.0471530650717038,-0.230033473111907,-0.27020647225438,"SL18-OI-6-FG1xSL18-SF-19-MG1"
"grm4._50",0.174509727413842,-0.194528818535373,0.0269998816539064,-0.21316776714171,-0.0650598556868905,"SL18-OI-7-FG3xSA18-CB-2-MG3"
"grm4._51",-0.264031844274657,0.118651235497488,-0.0256721021928085,0.434761649030764,0.188300672773444,"SL18-OI-9-FG1xSL18-LL-9-MG2"
"grm4._52",0.0291354338162623,0.522096946536184,-0.0137507279557715,-0.445993755254495,-0.0965108272984293,"SL18-SF-13-FG1xSL18-LL-9-MG3"
"grm4._53",0.374023589379738,-0.00395242141553304,0.0129158481236852,0.504709546277816,0.020430273731252,"SL18-LD-1-FG2xSA18-CB-4-MG3"
"grm4._54",-0.0223304801436417,0.341922427448605,-0.054760652038927,0.54844443389679,0.252149162373208,"SL18-SF-17-FG1xSL18-LL-9-MG1"
"grm4._55",0.253210208874697,-0.380222265132165,0.0167326191451673,0.808552420813736,0.130722410591997,"SL18-SF-17-FG3xSA18-CB-10-MG1"
"grm4._56",0.410865537203047,-0.270746971463408,-0.0160209796725205,0.628227691839343,0.108466941618108,"SL18-SF-17-FG3xSA18-CB-3-MG3"
"grm4._57",-0.377679609351561,-0.0132777272882716,-0.0523226348368036,0.512821376113721,0.179537346641047,"SL18-SF-17-FG3xSL18-LD-2-MG1"
"grm4._58",-0.181849092632203,-0.194721378981992,-0.0382165944399552,-0.116822697094266,-0.045669616442228,"SL18-SF-17-FG3xSL18-NL-10-MG2"
"grm4._59",-0.0470480984997078,-0.159523827050596,0.032442556390476,0.609360881921765,0.0984926873253663,"SL18-SF-17-FG3xSL18-NL-2-MG3"
"grm4._60",-0.0588438273183419,0.00266389433090475,-0.000741833160592123,0.40668811343072,0.188620744550169,"SL18-SF-17-FG3xSL18-NL-9-MG1"
"grm4._61",-0.162711445444353,-0.133265120506333,0.0133942053239121,0.576848400982867,0.226988837293726,"SL18-SF-17-FG3xSL18-OI-7-MG1"
"grm4._62",-0.200867175344866,-0.138949349396919,-0.0106770335088828,0.357810084565335,0.167649321287296,"SL18-SF-17-FG3xSL18-OI-9-MG3"
"grm4._63",-0.418170573768953,-0.485018127657766,-0.120801769080877,-0.402611829141818,-0.353109201069213,"SA18-CB-10-FG2xSL18-LL-9-MG1"
"grm4._64",-0.228361358120494,0.212912573948053,-0.0452446573902747,0.241040999900316,-0.00583918457465872,"SL18-LD-1-FG2xSL18-SF-13-MG3"
"grm4._65",-0.199291154995794,0.104006268733645,-0.063186218171269,1.03828286701018,0.266215958304517,"SL18-LD-1-FG2xSL18-SF-15-MG1"
"grm4._66",-0.0883934773591106,-0.00132347493089025,0.0618177616864961,-0.086513930163982,-0.0323360764936079,"SL18-LD-1-FG3xSL18-NL-5-MG1"
"grm4._67",-0.0203827017829815,0.150379884998767,0.03576379163246,0.417264599221466,0.0475894580659098,"SL18-LD-1-FG3xSL18-OI-11-MG2"
"grm4._68",-0.18649197209269,-0.0498328383976822,-0.0563671007807744,0.60198941332423,0.0409955479464223,"SL18-LD-1-FG3xSL18-OI-15-MG1"
"grm4._69",-0.271682350067195,-0.177040552754061,-0.0262786874469337,0.366582068830265,0.00372091241158173,"SL18-LD-1-FG3xSL18-OI-16-MG1"
"grm4._70",-0.17295130081804,0.095990398651398,-0.0992849689584012,0.431285176977479,0.0584535635218752,"SL18-LD-1-FG3xSL18-OI-6-MG2"
"grm4._71",-0.296523570818518,-0.115373369133449,-0.0468171646021928,0.29884383902377,0.0128141204299314,"SL18-LD-1-FG3xSL18-OI-7-MG1"
"grm4._72",-0.334680200991129,-0.121059663250375,-0.0708880271284101,0.0798050946211235,-0.0465257741722348,"SL18-LD-1-FG3xSL18-OI-9-MG3"
"grm4._73",0.642455587956564,-0.460592987635574,0.0608621063103831,-0.390678429873625,-0.221167734773516,"SA18-CB-4-FG3xSA18-CB-4-MG3"
"grm4._74",-0.263783695670814,0.0865899481517263,-0.0114484250420216,0.215986423661084,0.0474115489737495,"SL18-LD-1-FG3xSL18-NL-9-MG2"
"grm4._75",-0.0803665259264209,0.0518088085830269,-0.091013534172451,0.499311215439617,0.114096272304269,"SL18-LD-1-FG3xSL18-OI-15-MG2"
"grm4._76",0.379840308015239,-0.0420173076549063,-0.0287350403616578,0.187139775846357,0.0114560493058759,"SL18-LD-2-FG2xSA18-CB-3-MG3"
