Accession	Female_Parent	Male_Parent	Cross_Type
SL18-BL-S16-MG3	SL18-BL-S16	SL18-BL-S16	self
SL18-BL-S17			
SL18-BL-S17-FG1	SL18-BL-S17	SL18-BL-S17	self
SL18-BL-S17-FG2	SL18-BL-S17	SL18-BL-S17	self
SL18-BL-S17-FG3	SL18-BL-S17	SL18-BL-S17	self
SL18-BL-S17-MG1	SL18-BL-S17	SL18-BL-S17	self
SL18-BL-S17-MG2	SL18-BL-S17	SL18-BL-S17	self
SL18-BL-S17-MG3	SL18-BL-S17	SL18-BL-S17	self
SL18-BL-S18			
SL18-BL-S18-FG1	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-FG10	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-FG11	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-FG2	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-FG3	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-MG1	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-MG10	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-MG11	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-MG2	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S18-MG3	SL18-BL-S18	SL18-BL-S18	self
SL18-BL-S19			
SL18-BL-S2			
SL18-BL-S20			
SL18-BL-S21			
SL18-BL-S21-FG1	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-FG10	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-FG11	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-FG12	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-FG2	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-FG3	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-MG1	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-MG10	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-MG11	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-MG2	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S21-MG3	SL18-BL-S21	SL18-BL-S21	self
SL18-BL-S22			
SL18-BL-S23			
SL18-BL-S24			
SL18-BL-S25			
SL18-BL-S26			
SL18-BL-S27			
SL18-BL-S28			
SL18-BL-S29			
SL18-BL-S3			
SL18-BL-S30			
SL18-BL-S31			
SL18-BL-S32			
SL18-BL-S33			
SL18-BL-S34			
SL18-BL-S35			
SL18-BL-S4			
SL18-BL-S5			
SL18-BL-S6			
SL18-BL-S7			
SL18-BL-S8			
SL18-BL-S9			
SL18-BR-S1			
SL18-BR-S10			
SL18-BR-S11			
SL18-BR-S12			
SL18-BR-S13			
SL18-BR-S14			
SL18-BR-S15			
SL18-BR-S16			
SL18-BR-S17			
SL18-BR-S18			
SL18-BR-S19			
SL18-BR-S2			
SL18-BR-S20			
SL18-BR-S21			
SL18-BR-S22			
SL18-BR-S23			
SL18-BR-S24			
SL18-BR-S25			
SL18-BR-S26			
SL18-BR-S27			
SL18-BR-S28			
SL18-BR-S29			
SL18-BR-S3			
SL18-BR-S30			
SL18-BR-S4			
SL18-BR-S5			
SL18-BR-S6			
SL18-BR-S7			
SL18-BR-S8			
SL18-BR-S9			
SL18-CB-S1			
SL18-CB-S10			
SL18-CB-S10-MG1	SL18-CB-S10	SL18-CB-S10	self
SL18-CB-S1-MG13	SL18-CB-S1	SL18-CB-S1	self
SL18-CB-S2			
SL18-CB-S2-FG3	SL18-CB-S2	SL18-CB-S2	self
SL18-CB-S2-MG1	SL18-CB-S2	SL18-CB-S2	self
SL18-CB-S3			
SL18-CB-S3-MG1	SL18-CB-S3	SL18-CB-S3	self
SL18-CB-S3-MG2	SL18-CB-S3	SL18-CB-S3	self
SL18-CB-S3-MG3	SL18-CB-S3	SL18-CB-S3	self
SL18-CB-S4			
SL18-CB-S4-FG6	SL18-CB-S4	SL18-CB-S4	self
SL18-CB-S4-MG2	SL18-CB-S4	SL18-CB-S4	self
SL18-CB-S4-MG3	SL18-CB-S4	SL18-CB-S4	self
SL18-CB-S7			
SL18-CB-S7-MG1	SL18-CB-S7	SL18-CB-S7	self
SL18-CB-S7-MG2	SL18-CB-S7	SL18-CB-S7	self
SL18-CC-S01			
SL18-CC-S02			
SL18-CC-S03			
SL18-CC-S04			
SL18-CC-S05			
SL18-CC-S06			
SL18-CC-S07			
SL18-CC-S08			
SL18-CC-S09			
SL18-CC-S1			
SL18-CC-S10			
SL18-CC-S10-FG1	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-FG16	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-FG2	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-FG3	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-FG4	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-FG5	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-FG6	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-MG1	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-MG14	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-MG15	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-MG2	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-MG3	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S10-MG6	SL18-CC-S10	SL18-CC-S10	self
SL18-CC-S11			
SL18-CC-S11-FG1	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-FG14	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-FG15	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-FG2	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-FG3	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-FG5	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-FG6	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-MG1	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-MG2	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-MG3	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-MG4	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-MG5	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S11-MG6	SL18-CC-S11	SL18-CC-S11	self
SL18-CC-S12			
SL18-CC-S12-FG1	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-FG14	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-FG15	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-FG2	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-FG3	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-FG4	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-MG1	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-MG2	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S12-MG3	SL18-CC-S12	SL18-CC-S12	self
SL18-CC-S13			
SL18-CC-S14			
SL18-CC-S15			
SL18-CC-S16			
SL18-CC-S17			
SL18-CC-S18			
SL18-CC-S19			
SL18-CC-S1-FG1	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-FG11	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-FG12	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-FG2	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-FG3	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-G	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-MG1	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-MG11	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-MG2	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-MG3	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S1-MG5	SL18-CC-S1	SL18-CC-S1	self
SL18-CC-S2			
SL18-CC-S20			
SL18-CC-S2-FG1	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-FG2	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-FG3	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-FG4	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-FG5	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-FG6	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-MG1	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-MG2	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-MG3	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-MG4	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-MG5	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S2-MG6	SL18-CC-S2	SL18-CC-S2	self
SL18-CC-S3			
SL18-CC-S3-FG1	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG14	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG15	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG16	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG2	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG3	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG4	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG5	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-FG6	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-MG1	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-MG14	SL18-CC-S3	SL18-CC-S3	self
